dataset,y_true,xgb_mean_prob,lr_mean_prob,cat_mean_prob,bias,ensemble_prob,selected_threshold,y_pred_threshold_opt
train,0,0.25654336810112,0.27152596549881963,0.0,0.014982597397699637,0.2640346667999698,0.16,1
train,1,0.25955432653427124,0.26590356967490647,0.0,0.00634924314063523,0.26272894810458886,0.16,1
train,0,0.14347858726978302,0.06399660396302308,0.0,-0.07948198330675994,0.10373759561640306,0.16,0
train,0,0.14347858726978302,0.05686800107173348,0.0,-0.08661058619804954,0.10017329417075825,0.16,0
train,0,0.14101730287075043,0.04248232913306491,0.0,-0.09853497373768552,0.09174981600190767,0.16,0
train,0,0.1392768919467926,0.04546061400868402,0.0,-0.09381627793810858,0.0923687529777383,0.16,0
train,0,0.23698480427265167,0.30106167942737494,0.0,0.06407687515472327,0.2690232418500133,0.16,1
train,0,0.24655646085739136,0.24843130502130564,0.0,0.0018748441639142854,0.2474938829393485,0.16,1
train,0,0.2549129128456116,0.26233803215246637,0.0,0.007425119306854799,0.258625472499039,0.16,1
train,0,0.14347858726978302,0.06552499373687233,0.0,-0.07795359353291069,0.10450179050332767,0.16,0
train,0,0.14101730287075043,0.055512030934603315,0.0,-0.08550527193614711,0.09826466690267688,0.16,0
train,0,0.25271478295326233,0.25759384691518517,0.0,0.004879063961922836,0.25515431493422375,0.16,1
train,0,0.1392768919467926,0.2735053167207003,0.0,0.13422842477390767,0.20639110433374644,0.16,1
train,0,0.14101730287075043,0.0413803796799339,0.0,-0.09963692319081652,0.09119884127534217,0.16,0
train,0,0.1392768919467926,0.051210682060421196,0.0,-0.0880662098863714,0.0952437870036069,0.16,0
train,0,0.25250735878944397,0.2842220163660182,0.0,0.03171465757657421,0.2683646875777311,0.16,1
