dataset,feature,mean,std,median,q1,q3,min,max,positive_mean,negative_mean
validation,冠心病,0.047058823529411764,0.2130214807490178,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.041666666666666664
validation,结核病史,0.011764705882352941,0.10846522890932817,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.0
validation,甲状腺疾病,0.023529411764705882,0.15247721049352908,0.0,0.0,0.0,0.0,1.0,0.0,0.027777777777777776
validation,甲状腺手术史,0.03529411764705882,0.1856172985273867,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.027777777777777776
validation,肺部手术史,0.011764705882352941,0.10846522890932818,0.0,0.0,0.0,0.0,1.0,0.0,0.013888888888888888
validation,放化疗史,0.011764705882352941,0.10846522890932812,0.0,0.0,0.0,0.0,1.0,0.0,0.013888888888888888
validation,胸部外伤史,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,性别,0.47058823529411764,0.5020964452534336,0.0,0.0,1.0,0.0,1.0,0.07692307692307693,0.5416666666666666
validation,年龄,58.588235294117645,9.516019222802123,60.0,53.0,66.0,32.0,75.0,56.38461538461539,58.986111111111114
validation,身高,166.4470588235294,7.63217793660646,166.0,160.0,170.0,150.0,186.0,163.07692307692307,167.05555555555554
validation,体重,66.53882352941177,10.65842048198833,66.0,60.0,72.8,37.0,94.0,61.15384615384615,67.51111111111112
validation,bmi,23.941883576470588,3.019340686978034,23.87511478,21.91358025,25.85463947,15.40062435,31.23140988,22.866068303076926,24.136128000833335
test,右肺上叶,0.5411764705882353,0.5012589193238167,1.0,0.0,1.0,0.0,1.0,0.6153846153846154,0.5277777777777778
test,右肺中叶,0.15294117647058825,0.36206689571789097,0.0,0.0,0.0,0.0,1.0,0.15384615384615385,0.1527777777777778
test,右肺下叶,0.3176470588235294,0.4683243866087233,0.0,0.0,1.0,0.0,1.0,0.38461538461538464,0.3055555555555556
test,左肺上叶,0.011764705882352941,0.10846522890932819,0.0,0.0,0.0,0.0,1.0,0.0,0.013888888888888888
test,左肺下叶,0.058823529411764705,0.2366905341655754,0.0,0.0,0.0,0.0,1.0,0.0,0.06944444444444445
test,纵隔肿物,0.08235294117647059,0.2765331593774862,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.08333333333333333
test,高血压,0.25882352941176473,0.4405878426135059,0.0,0.0,1.0,0.0,1.0,0.38461538461538464,0.2361111111111111
test,糖尿病,0.09411764705882353,0.29372522840900384,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.09722222222222222
test,冠心病,0.047058823529411764,0.21302148074901775,0.0,0.0,0.0,0.0,1.0,0.0,0.05555555555555555
test,结核病史,0.03529411764705882,0.18561729852738676,0.0,0.0,0.0,0.0,1.0,0.0,0.041666666666666664
test,甲状腺疾病,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,甲状腺手术史,0.011764705882352941,0.10846522890932819,0.0,0.0,0.0,0.0,1.0,0.0,0.013888888888888888
test,肺部手术史,0.03529411764705882,0.1856172985273869,0.0,0.0,0.0,0.0,1.0,0.0,0.041666666666666664
test,放化疗史,0.023529411764705882,0.152477210493529,0.0,0.0,0.0,0.0,1.0,0.0,0.027777777777777776
test,胸部外伤史,0.023529411764705882,0.15247721049352905,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.013888888888888888
test,性别,0.47058823529411764,0.5020964452534337,0.0,0.0,1.0,0.0,1.0,0.07692307692307693,0.5416666666666666
test,年龄,58.37647058823529,10.191004986410968,59.0,52.0,66.0,33.0,78.0,55.0,58.986111111111114
test,身高,165.57647058823528,7.4360391251760145,165.0,160.0,172.0,150.0,182.0,160.92307692307693,166.41666666666666
test,体重,66.01176470588236,10.50905971695155,65.0,60.0,72.0,43.0,95.0,62.53846153846154,66.63888888888889
test,bmi,24.04275812176471,3.231261213268727,24.14151925,21.60493827,25.78125,16.9550173,33.984375,23.930681662307695,24.062994149166666
external,右肺上叶,0.7619047619047619,0.4364357804719847,1.0,1.0,1.0,0.0,1.0,1.0,0.7368421052631579
external,右肺中叶,0.47619047619047616,0.5117663157191589,0.0,0.0,1.0,0.0,1.0,0.5,0.47368421052631576
external,右肺下叶,0.7142857142857143,0.46291004988627577,1.0,0.0,1.0,0.0,1.0,1.0,0.6842105263157895
external,左肺上叶,0.6190476190476191,0.4976133515281192,1.0,0.0,1.0,0.0,1.0,0.5,0.631578947368421
external,左肺下叶,0.7619047619047619,0.4364357804719847,1.0,1.0,1.0,0.0,1.0,0.5,0.7894736842105263
external,纵隔肿物,0.14285714285714285,0.35856858280031817,0.0,0.0,0.0,0.0,1.0,0.0,0.15789473684210525
external,高血压,0.5238095238095238,0.5117663157191589,1.0,0.0,1.0,0.0,1.0,0.5,0.5263157894736842
external,糖尿病,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.0,0.10526315789473684
external,冠心病,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.0,0.10526315789473684
external,结核病史,0.047619047619047616,0.2182178902359924,0.0,0.0,0.0,0.0,1.0,0.5,0.0
external,甲状腺疾病,0.047619047619047616,0.21821789023599236,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842
external,甲状腺手术史,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external,肺部手术史,0.5714285714285714,0.50709255283711,1.0,0.0,1.0,0.0,1.0,0.0,0.631578947368421
external,放化疗史,0.19047619047619047,0.4023739080814784,0.0,0.0,0.0,0.0,1.0,0.0,0.21052631578947367
external,胸部外伤史,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external,性别,0.7142857142857143,0.46291004988627577,1.0,0.0,1.0,0.0,1.0,0.5,0.7368421052631579
external,年龄,62.61904761904762,15.876007654559096,63.0,56.0,74.0,21.0,87.0,57.5,63.1578947368421
external,身高,172.86625,10.428309466703285,171.5,165.075,182.91,155.0,188.0,165.01,173.98857142857145
external,体重,88.14285714285714,30.608733580933585,80.7,70.0,98.4,53.2,194.0,72.6,89.77894736842104
external,bmi,30.410899999999998,9.525086963942464,27.1538,24.131625,35.30245,19.8573,57.9295,26.96145,30.90367857142857
