variant,stage,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn,is_terminal_output
without_regional_adjustment,error_pattern_correction,train,0.7475086367260165,0.3682569655937739,0.5222551928783383,0.6781823013553017,0.2352941176470588,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.3,48,156,128,5,1
without_regional_adjustment,error_pattern_correction,tuning,0.6973159712994951,0.301501106557364,0.5608308605341247,0.6780494286473558,0.2432432432432432,0.8490566037735849,0.5070422535211268,0.3781512605042016,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8,1
without_regional_adjustment,error_pattern_correction,validation,0.7473290598290598,0.3536202781024369,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
without_regional_adjustment,error_pattern_correction,test,0.7761752136752137,0.3323282895840095,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
without_regional_adjustment,error_pattern_correction,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.1428571428571428,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.1147078669352808,0.3,1,6,13,1,1
without_error_pattern_seed,error_pattern_correction,train,0.7475086367260165,0.3682569655937739,0.5222551928783383,0.6781823013553017,0.2352941176470588,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.3,48,156,128,5,1
without_error_pattern_seed,error_pattern_correction,tuning,0.6973159712994951,0.301501106557364,0.5608308605341247,0.6780494286473558,0.2432432432432432,0.8490566037735849,0.5070422535211268,0.3781512605042016,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8,1
without_error_pattern_seed,error_pattern_correction,validation,0.7473290598290598,0.3536202781024369,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
without_error_pattern_seed,error_pattern_correction,test,0.7761752136752137,0.3323282895840095,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
without_error_pattern_seed,error_pattern_correction,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.1428571428571428,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.1147078669352808,0.3,1,6,13,1,1
without_error_pattern_correction,regional_probability_adjustment,train,0.788499867127292,0.4342658849352356,0.5370919881305638,0.68698511825671,0.2412060301507537,0.9056603773584906,0.4683098591549295,0.3809523809523809,0.583941605839416,0.2768650030131188,0.17,48,151,133,5,1
without_error_pattern_correction,regional_probability_adjustment,tuning,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.2444444444444444,0.8301886792452831,0.5211267605633803,0.3776824034334764,0.5612244897959183,0.2563942391390683,0.17,44,136,148,9,1
without_error_pattern_correction,regional_probability_adjustment,validation,0.7857905982905984,0.4135803330700299,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769232,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.3256591666807346,0.17,12,34,38,1,1
without_error_pattern_correction,regional_probability_adjustment,test,0.6736111111111112,0.2244940817859551,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769232,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.3256591666807346,0.17,12,34,38,1,1
without_error_pattern_correction,regional_probability_adjustment,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.1428571428571428,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.1147078669352808,0.17,1,6,13,1,1
primary_rule_only_candidate,primary_rule_only_candidate,train,0.7914230667020994,0.4393393811800176,0.5370919881305638,0.68698511825671,0.2412060301507537,0.9056603773584906,0.4683098591549295,0.3809523809523809,0.583941605839416,0.2768650030131188,0.5912346137757031,48,151,133,5,1
primary_rule_only_candidate,primary_rule_only_candidate,tuning,0.6785144831251662,0.2924662108379658,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.5912346137757031,44,137,147,9,1
primary_rule_only_candidate,primary_rule_only_candidate,validation,0.7868589743589745,0.4209307689370898,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769232,0.5138888888888888,0.4,0.6060606060606061,0.3163331138379665,0.5912346137757031,12,35,37,1,1
primary_rule_only_candidate,primary_rule_only_candidate,test,0.6736111111111112,0.2222476646887202,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769232,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.3256591666807346,0.5912346137757031,12,34,38,1,1
primary_rule_only_candidate,primary_rule_only_candidate,external,0.6578947368421053,0.3214285714285714,0.6666666666666666,0.5921052631578947,0.1428571428571428,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.1147078669352808,0.5912346137757031,1,6,13,1,1
